,trade_id,date,asset,trip,action,type,price,status
171,47,2020-03-18,IVV,EXIT,SELL,LMT,275.45,CANCELLED
172,47,2020-03-18,IVV,EXIT,SELL,MKT,241.17,SUBMITTED
173,47,2020-03-18,IVV,EXIT,SELL,MKT,241.17,FILLED
174,48,2020-03-13,IVV,ENTRY,BUY,LMT,246.47,SUBMITTED
175,48,2020-03-16,IVV,ENTRY,BUY,LMT,246.47,FILLED
176,48,2020-03-16,IVV,EXIT,SELL,LMT,248.93,SUBMITTED
177,48,2020-03-17,IVV,EXIT,SELL,LMT,248.93,FILLED
178,49,2020-03-16,IVV,ENTRY,BUY,LMT,268.83,SUBMITTED
179,49,2020-03-16,IVV,ENTRY,BUY,LMT,268.83,FILLED
180,49,2020-03-16,IVV,EXIT,SELL,LMT,271.52,SUBMITTED
181,49,2020-03-20,IVV,EXIT,SELL,LMT,271.52,CANCELLED
182,49,2020-03-20,IVV,EXIT,SELL,MKT,231.16,SUBMITTED
183,49,2020-03-20,IVV,EXIT,SELL,MKT,231.16,FILLED
184,50,2020-03-17,IVV,ENTRY,BUY,LMT,237.72,SUBMITTED
185,50,2020-03-18,IVV,ENTRY,BUY,LMT,237.72,FILLED
186,50,2020-03-18,IVV,EXIT,SELL,LMT,240.1,SUBMITTED
187,50,2020-03-18,IVV,EXIT,SELL,LMT,240.1,FILLED
188,51,2020-03-18,IVV,ENTRY,BUY,LMT,252.84,SUBMITTED
189,51,2020-03-18,IVV,ENTRY,BUY,LMT,252.84,FILLED
190,51,2020-03-18,IVV,EXIT,SELL,LMT,255.37,SUBMITTED
191,51,2020-03-24,IVV,EXIT,SELL,LMT,255.37,CANCELLED
192,51,2020-03-24,IVV,EXIT,SELL,MKT,245.88,SUBMITTED
193,51,2020-03-24,IVV,EXIT,SELL,MKT,245.88,FILLED
194,52,2020-03-19,IVV,ENTRY,BUY,LMT,238.76,SUBMITTED
195,52,2020-03-19,IVV,ENTRY,BUY,LMT,238.76,FILLED
196,52,2020-03-19,IVV,EXIT,SELL,LMT,241.15,SUBMITTED
197,52,2020-03-19,IVV,EXIT,SELL,LMT,241.15,FILLED
198,53,2020-03-20,IVV,ENTRY,BUY,LMT,239.64,SUBMITTED
199,53,2020-03-20,IVV,ENTRY,BUY,LMT,239.64,FILLED
200,53,2020-03-20,IVV,EXIT,SELL,LMT,242.04,SUBMITTED
201,53,2020-03-24,IVV,EXIT,SELL,LMT,242.04,FILLED
202,54,2020-03-23,IVV,ENTRY,BUY,LMT,228.85,SUBMITTED
203,54,2020-03-23,IVV,ENTRY,BUY,LMT,228.85,FILLED
204,54,2020-03-23,IVV,EXIT,SELL,LMT,231.14,SUBMITTED
205,54,2020-03-24,IVV,EXIT,SELL,LMT,231.14,FILLED
206,55,2020-03-24,IVV,ENTRY,BUY,LMT,222.4,SUBMITTED
207,55,2020-03-26,IVV,ENTRY,BUY,LMT,222.4,CANCELLED
208,56,2020-03-25,IVV,ENTRY,BUY,LMT,243.42,SUBMITTED
209,56,2020-03-25,IVV,ENTRY,BUY,LMT,243.42,FILLED
210,56,2020-03-25,IVV,EXIT,SELL,LMT,245.85,SUBMITTED
211,56,2020-03-25,IVV,EXIT,SELL,LMT,245.85,FILLED
212,57,2020-03-26,IVV,ENTRY,BUY,LMT,245.0,SUBMITTED
213,57,2020-03-30,IVV,ENTRY,BUY,LMT,245.0,CANCELLED
214,58,2020-03-27,IVV,ENTRY,BUY,LMT,259.75,SUBMITTED
215,58,2020-03-27,IVV,ENTRY,BUY,LMT,259.75,FILLED
216,58,2020-03-27,IVV,EXIT,SELL,LMT,262.35,SUBMITTED
217,58,2020-03-30,IVV,EXIT,SELL,LMT,262.35,FILLED
218,59,2020-03-30,IVV,ENTRY,BUY,LMT,251.7,SUBMITTED
219,59,2020-04-01,IVV,ENTRY,BUY,LMT,251.7,FILLED
220,59,2020-04-01,IVV,EXIT,SELL,LMT,254.22,SUBMITTED
221,59,2020-04-06,IVV,EXIT,SELL,LMT,254.22,FILLED
222,60,2020-03-31,IVV,ENTRY,BUY,LMT,259.74,SUBMITTED
223,60,2020-03-31,IVV,ENTRY,BUY,LMT,259.74,FILLED
224,60,2020-03-31,IVV,EXIT,SELL,LMT,262.34,SUBMITTED
225,60,2020-04-06,IVV,EXIT,SELL,LMT,262.34,FILLED
226,61,2020-04-01,IVV,ENTRY,BUY,LMT,255.82,SUBMITTED
227,61,2020-04-01,IVV,ENTRY,BUY,LMT,255.82,FILLED
228,61,2020-04-01,IVV,EXIT,SELL,LMT,258.38,SUBMITTED
229,61,2020-04-06,IVV,EXIT,SELL,LMT,258.38,FILLED
230,62,2020-04-02,IVV,ENTRY,BUY,LMT,244.33,SUBMITTED
231,62,2020-04-06,IVV,ENTRY,BUY,LMT,244.33,CANCELLED
232,63,2020-04-03,IVV,ENTRY,BUY,LMT,250.06,SUBMITTED
233,63,2020-04-03,IVV,ENTRY,BUY,LMT,250.06,FILLED
234,63,2020-04-03,IVV,EXIT,SELL,LMT,252.56,SUBMITTED
235,63,2020-04-06,IVV,EXIT,SELL,LMT,252.56,FILLED
236,64,2020-04-06,IVV,ENTRY,BUY,LMT,246.53,SUBMITTED
237,64,2020-04-08,IVV,ENTRY,BUY,LMT,246.53,CANCELLED
238,65,2020-04-07,IVV,ENTRY,BUY,LMT,263.14,SUBMITTED
239,65,2020-04-09,IVV,ENTRY,BUY,LMT,263.14,CANCELLED
240,66,2020-04-08,IVV,ENTRY,BUY,LMT,263.25,SUBMITTED
241,66,2020-04-13,IVV,ENTRY,BUY,LMT,263.25,CANCELLED
242,67,2020-04-09,IVV,ENTRY,BUY,LMT,272.25,SUBMITTED
243,67,2020-04-14,IVV,ENTRY,BUY,LMT,272.25,CANCELLED
244,68,2020-04-13,IVV,ENTRY,BUY,LMT,276.33,SUBMITTED
245,68,2020-04-13,IVV,ENTRY,BUY,LMT,276.33,FILLED
246,68,2020-04-13,IVV,EXIT,SELL,LMT,279.09,SUBMITTED
247,68,2020-04-14,IVV,EXIT,SELL,LMT,279.09,FILLED
248,69,2020-04-14,IVV,ENTRY,BUY,LMT,273.68,SUBMITTED
249,69,2020-04-16,IVV,ENTRY,BUY,LMT,273.68,CANCELLED
250,70,2020-04-15,IVV,ENTRY,BUY,LMT,281.98,SUBMITTED
251,70,2020-04-15,IVV,ENTRY,BUY,LMT,281.98,FILLED
252,70,2020-04-15,IVV,EXIT,SELL,LMT,284.8,SUBMITTED
253,70,2020-04-17,IVV,EXIT,SELL,LMT,284.8,FILLED
254,71,2020-04-16,IVV,ENTRY,BUY,LMT,275.78,SUBMITTED
255,71,2020-04-20,IVV,ENTRY,BUY,LMT,275.78,CANCELLED
256,72,2020-04-17,IVV,ENTRY,BUY,LMT,277.25,SUBMITTED
257,72,2020-04-21,IVV,ENTRY,BUY,LMT,277.25,FILLED
258,72,2020-04-21,IVV,EXIT,SELL,LMT,280.02,SUBMITTED
259,72,2020-04-22,IVV,EXIT,SELL,LMT,280.02,FILLED
260,73,2020-04-20,IVV,ENTRY,BUY,LMT,284.7,SUBMITTED
261,73,2020-04-20,IVV,ENTRY,BUY,LMT,284.7,FILLED
262,73,2020-04-20,IVV,EXIT,SELL,LMT,287.55,SUBMITTED
263,73,2020-04-24,IVV,EXIT,SELL,LMT,287.55,CANCELLED
264,73,2020-04-24,IVV,EXIT,SELL,MKT,283.9,SUBMITTED
265,73,2020-04-24,IVV,EXIT,SELL,MKT,283.9,FILLED
266,74,2020-04-21,IVV,ENTRY,BUY,LMT,279.64,SUBMITTED
267,74,2020-04-21,IVV,ENTRY,BUY,LMT,279.64,FILLED
268,74,2020-04-21,IVV,EXIT,SELL,LMT,282.44,SUBMITTED
269,74,2020-04-23,IVV,EXIT,SELL,LMT,282.44,FILLED
270,75,2020-04-22,IVV,ENTRY,BUY,LMT,271.12,SUBMITTED
271,75,2020-04-24,IVV,ENTRY,BUY,LMT,271.12,CANCELLED
272,76,2020-04-23,IVV,ENTRY,BUY,LMT,277.26,SUBMITTED
273,76,2020-04-27,IVV,ENTRY,BUY,LMT,277.26,CANCELLED
274,77,2020-04-24,IVV,ENTRY,BUY,LMT,277.18,SUBMITTED
275,77,2020-04-28,IVV,ENTRY,BUY,LMT,277.18,CANCELLED
276,78,2020-04-27,IVV,ENTRY,BUY,LMT,281.06,SUBMITTED
277,78,2020-04-29,IVV,ENTRY,BUY,LMT,281.06,CANCELLED
278,79,2020-04-28,IVV,ENTRY,BUY,LMT,285.31,SUBMITTED
279,79,2020-04-30,IVV,ENTRY,BUY,LMT,285.31,CANCELLED
280,80,2020-04-29,IVV,ENTRY,BUY,LMT,283.77,SUBMITTED
281,80,2020-05-01,IVV,ENTRY,BUY,LMT,283.77,FILLED
282,80,2020-05-01,IVV,EXIT,SELL,LMT,286.61,SUBMITTED
283,80,2020-05-05,IVV,EXIT,SELL,LMT,286.61,FILLED
284,81,2020-04-30,IVV,ENTRY,BUY,LMT,291.19,SUBMITTED
285,81,2020-04-30,IVV,ENTRY,BUY,LMT,291.19,FILLED
286,81,2020-04-30,IVV,EXIT,SELL,LMT,294.1,SUBMITTED
287,81,2020-05-06,IVV,EXIT,SELL,LMT,294.1,CANCELLED
288,81,2020-05-06,IVV,EXIT,SELL,MKT,285.25,SUBMITTED
289,81,2020-05-06,IVV,EXIT,SELL,MKT,285.25,FILLED
290,82,2020-05-01,IVV,ENTRY,BUY,LMT,288.25,SUBMITTED
291,82,2020-05-01,IVV,ENTRY,BUY,LMT,288.25,FILLED
292,82,2020-05-01,IVV,EXIT,SELL,LMT,291.13,SUBMITTED
293,82,2020-05-07,IVV,EXIT,SELL,LMT,291.13,CANCELLED
294,82,2020-05-07,IVV,EXIT,SELL,MKT,288.63,SUBMITTED
295,82,2020-05-07,IVV,EXIT,SELL,MKT,288.63,FILLED
296,83,2020-05-04,IVV,ENTRY,BUY,LMT,280.69,SUBMITTED
297,83,2020-05-04,IVV,ENTRY,BUY,LMT,280.69,FILLED
298,83,2020-05-04,IVV,EXIT,SELL,LMT,283.5,SUBMITTED
299,83,2020-05-04,IVV,EXIT,SELL,LMT,283.5,FILLED
300,84,2020-05-05,IVV,ENTRY,BUY,LMT,281.78,SUBMITTED
301,84,2020-05-07,IVV,ENTRY,BUY,LMT,281.78,CANCELLED
302,85,2020-05-06,IVV,ENTRY,BUY,LMT,284.27,SUBMITTED
303,85,2020-05-08,IVV,ENTRY,BUY,LMT,284.27,CANCELLED
304,86,2020-05-07,IVV,ENTRY,BUY,LMT,282.4,SUBMITTED
305,86,2020-05-11,IVV,ENTRY,BUY,LMT,282.4,CANCELLED
306,87,2020-05-08,IVV,ENTRY,BUY,LMT,285.74,SUBMITTED
307,87,2020-05-12,IVV,ENTRY,BUY,LMT,285.74,CANCELLED
308,88,2020-05-11,IVV,ENTRY,BUY,LMT,290.53,SUBMITTED
309,88,2020-05-12,IVV,ENTRY,BUY,LMT,290.53,FILLED
310,88,2020-05-12,IVV,EXIT,SELL,LMT,293.44,SUBMITTED
311,88,2020-05-18,IVV,EXIT,SELL,LMT,293.44,FILLED
312,89,2020-05-12,IVV,ENTRY,BUY,LMT,290.52,SUBMITTED
313,89,2020-05-12,IVV,ENTRY,BUY,LMT,290.52,FILLED
314,89,2020-05-12,IVV,EXIT,SELL,LMT,293.43,SUBMITTED
315,89,2020-05-18,IVV,EXIT,SELL,LMT,293.43,FILLED
316,90,2020-05-13,IVV,ENTRY,BUY,LMT,284.6,SUBMITTED
317,90,2020-05-13,IVV,ENTRY,BUY,LMT,284.6,FILLED
318,90,2020-05-13,IVV,EXIT,SELL,LMT,287.45,SUBMITTED
319,90,2020-05-18,IVV,EXIT,SELL,LMT,287.45,FILLED
320,91,2020-05-14,IVV,ENTRY,BUY,LMT,279.71,SUBMITTED
321,91,2020-05-14,IVV,ENTRY,BUY,LMT,279.71,FILLED
322,91,2020-05-14,IVV,EXIT,SELL,LMT,282.51,SUBMITTED
323,91,2020-05-14,IVV,EXIT,SELL,LMT,282.51,FILLED
324,92,2020-05-15,IVV,ENTRY,BUY,LMT,283.06,SUBMITTED
325,92,2020-05-15,IVV,ENTRY,BUY,LMT,283.06,FILLED
